,,,,,,,,,,,,
,,Description,,,,,Hiring Indicators,,,,,
,,Technical leadership that empowers groups of people to deliver high quality work.,,,,,Problem Solving,,Do Hard Things,Time Is Precious,,
,,,,,,,Communication,,Collaboration,Awareness,,
,,,,,,,Instigate Change,,Empathy,,,
,,,,,,,,,,,,
,,Tracks,,,,,,,,,,
,,Project Management,,,Communication,,,Craft,,,Initiative,
,,"Delivers well-scoped programs of work that meet their goals, on time, to budget, harmoniously",,,"Shares the right amount of information with the right people, at the right time, and listens effectively",,,Embodies and promotes practices to ensure excellent quality products and services,,,Challenges the status quo and effects positive organizational change outside of mandated work,
,1,Effectively delivers individual tasks,,,"Communicates effectively to close stakeholders when called upon, and incorporates constructive feedback",,,Delivers consistently good quality work,,,Identifies opportunities for organizational change or product improvements,
,,Examples,,,Examples,,,Examples,,,Examples,
,,Estimates small tasks accurately,Wrote the technical spec for featured post images,,Communicates project status clearly and effectively,Updated The Watch before running a backfill,,"Tests new code thoroughly, both locally, and in production once shipped",Caught a bug on Hatch before it went live,,Writes Hatch posts about improvement opportunities,Wrote about problems with TTR on Hatch
,,Delivers tightly-scoped projects efficiently,Delivered stream item support for email digests,,Collaborates with others with empathy,Updated project status changes in Asana promptly,,Writes tests for every new feature and bug fix,Landed non-trivial PR with no caretaker comments,,Raises meaningful tensions in tactical meetings,Wrote about content policy problems on Hatch
,,Writes effective technical specs outlining approach,Delivered payment history dashboard,,Asks for help at the appropriate juncture,Gave thoughtful check-in and check-out comments,,Writes clear comments and documentation,Wrote hermetic tests for the happy and sad cases,,Asks leadership team probing questions at FAM,Reported a site issue in Github
,2,Effectively delivers small personal projects,,,"Communicates with the wider team appropriately, focusing on timeliness and good quality conversations",,,"Increases the robustness and reliability of codebases, and devotes time to polishing products and systems",,,Causes change to positively impact a few individuals or minor improvement to an existing product or service,
,,Examples,,,Examples,,,Examples,,,Examples,
,,Performs research and considers alternative approaches,Delivered promo editor,,Practises active listening and suspension of attention,Received and integrated critical feedback positively,,Refactors existing code to make it more testable,Requested tests for a PR when acting as reviewer,,Picks bugs off the backlog proactively when blocked elsewhere,Advocated on own behalf for a change in role
,,Balances pragmatism and polish appropriately,Delivered audio uploading for web client,,Ensures stakeholders are aware of current blockers,Created cross-team Slack channel for payments work,,Adds tests for uncovered areas,Reduced the number of zelda fitzgerald exceptions,,Makes design quality improvements unprompted,Implemented flow typing for promises
,,Defines and hits interim milestones,Executed the recommends to claps backfill,,Chooses the appropriate tools for accurate and timely communication,Spoke to domain experts before writing spec,,Deletes unnecessary code and deprecates proactively when safe to do so,Fixed a TODO for someone else in the codebase,,Takes on trust and safety tasks proactively when blocked elsewhere,Audited web client performance in Chrome and proposed fixes
,3,Effectively delivers projects through a small team,,,"Proactively shares information, actively solicits feedback, and facilitates communication for multiple stakeholders",,,Improves others' ability to deliver great quality work,,,Causes change to positively impact an entire team or instigates a minor feature or service,
,,Examples,,,Examples,,,Examples,,,Examples,
,,Delegates tasks to others appropriately,Ran project retro to assess improvement opportunities,,Resolves communication difficulties between others,Directed team response effectively during outages,,Implements systems that enable better testing,Improved PRB to run the same volume of tests faster,,Demonstrates concepts proactively with prototypes,Defined style guide to resolve style arguments
,,Integrates business needs into project planning,Completed launch checklist unprompted for well controlled rollout,,Anticipates and shares schedule deviations in plenty of time,Gave a substantial Eng All Hands presentation on React,,Gives thoughtful code reviews as a domain expert,Simplified hermetic test data modification,,Fixes complicated bugs outside of regular domain,Proposed and implemented at-mentions prototype
,,Chooses appropriate project management strategy based on context,Facilitated project kickoff meeting to get buy-in,,Manages project stakeholder expectations effectively,Gave notice of upcoming related work in Eng Briefing,,Adds tooling to improve code quality,Created fixture system for visual quality,,Takes ownership of systems that nobody owns or wants,"Implemented video for Android independently, unprompted"
,4,"Effectively delivers projects through a large team, or with a significant amount of stakeholders or complexity",,,"Communicates complex ideas skillfully and with nuance, and establishes alignment within the wider organization",,,"Advocates for and models great quality with proactive actions, and tackles difficult and subtle system issues",,,Effects change that has a substantial positive impact on the engineering organization or a major product impact,
,,Examples,,,Examples,,,Examples,,,Examples,
,,"Finds ways to deliver requested scope faster, and prioritizes backlog",Oversaw technical delivery of Hightower,,Communicates project risk and tradeoffs skillfully and with nuance,Lead off-site workshop on interviewing,,Builds systems so as to eliminate entire classes of programmer error,Added code coverage reporting to iOS CI pipeline,,Champions and pioneers new technologies to solve new classes of problem,Created the interviewing rubric and booklet
,,Manages dependencies on other projects and teams,Managed infrastructure migration to VPC,,Contextualizes and clarifies ambiguous direction and strategy for others,Wrote Medium's growth framework and rationale,,Focuses the team on quality with regular reminders,Iterated repeatedly to develop Medium's underlines solution,,Exemplifies grit and determination in the face of persistent obstacles,Implemented and secured support for native login
,,Leverages recognition of repeated project patterns,"Involved marketing, legal, and appropriate functions at project start",,Negotiates resourcing compromises with other teams,Aligned the entire organization around claps,,Coordinates Watch priorities and projects,Defined and oversaw plan for closing Heartbleed vulnerability,,"Instigates major new features, services, or architectures",Migrated medium2 to  mono repo and bazel
,5,Manages major company pushes delivered by multiple teams,,,"Influences outcomes at the highest level, moves beyond mere broadcasting, and sets best practices for others",,,Enables and encourages the entire organization to make quality a central part of the development process,,,Effects change that has a substantial positive impact on the whole company,
,,Examples,,,Examples,,,Examples,,,Examples,
,,Considers external constraints and business objectives when planning,Managed technical migration to SOA,,Defines processes for clear communication for the entire team,Organized half year check-in company offsite,,Defines policies for the engineering org that encourage quality work,Negotiated resources for Fix-It week with exec team,,Creates a new function to solve systemic issues,Migrated the organization from Holacracy
,,"Leads teams of teams, and coordinates effective cross- functional collaboration",Lead technical delivery of 10/7,,"Shares the right amount of information with the right people, at the right time",Created the communication plan for a large organizational change,,Identifies and eliminates single points of failure throughout the organization,Instituted and ensured success of a 20% time policy,,Galvanizes the entire company and garners buy in for a new strategy,Built Medium Android prototype and convinced execs to fund it
,,Owns a key company metric,Delivered multi-month engineering project on time,,"Develops and delivers plans to execs, the board, and outside investors",Presented to the board about key company metrics and projects,,Secures time and resources from execs to support great quality,Started The Watch,,Changes complex organizational processes,Convinced leadership and engineering org to move to Medium Lite architecture
